user_id,gender,married,has_children,home_country,home_city,home_airport,age,amount_only_flight_trips,amount_only_hotel_trips,amount_pauschal_trips,seats,hotel_revenue_w_discount,flight_revenue_w_discount,rooms,nights,checked_bags,cancellation,amount_unique_destinations,fav_hotel
94883,F,True,False,usa,kansas city,MCI,54,,,2.0,1.5,230.0,1487.26,1.5,1.0,0.5,0,2.0,
101486,F,True,True,usa,tacoma,TCM,53,,1.0,1.0,1.0,2199.0,189.91,1.5,4.0,0.0,0,1.0,
101961,F,True,False,usa,boston,BOS,45,,,5.0,1.0,2429.0,1237.693,1.0,3.8,0.4,0,5.0,
106907,F,True,True,usa,miami,TNT,47,,,,,,,,,,1,,
118043,F,False,True,usa,los angeles,LAX,54,1.0,2.0,2.0,2.0,5616.45,5126.56,1.25,5.5,1.0,0,3.0,Fairmont
149058,F,False,True,usa,birmingham,BHM,53,,,5.0,,5579.0,,1.2,5.2,,0,,
153982,F,False,True,canada,toronto,YKZ,47,,,3.0,1.0,681.0,656.87,1.0,1.3333333333333333,0.3333333333333333,0,3.0,
167852,F,False,False,usa,tampa,MCF,20,,,,,,,,,,0,,
174997,F,False,False,usa,grand rapids,GRR,34,,,2.0,1.0,448.0,590.43,1.0,2.0,0.0,1,2.0,
181157,F,True,False,usa,houston,HOU,55,,,3.0,2.0,4987.8,2325.902,2.0,3.3333333333333335,1.0,0,2.0,Radisson 
190866,F,False,False,usa,tallahassee,TLH,39,,,5.0,1.0,1496.0,2081.0,1.0,2.0,0.4,0,4.0,Fairmont
204997,F,True,False,usa,kansas city,MCI,40,1.0,,1.0,1.0,284.0,488.47,1.0,4.0,0.5,2,2.0,
217114,O,True,True,usa,long beach,LGB,22,,,,,,,,,,0,,
228195,F,False,True,usa,los angeles,LAX,29,,,,,,,,,,0,,
229009,F,False,False,usa,stockton,SCK,19,,,2.0,1.0,474.0,1061.63,1.0,1.5,0.5,1,2.0,
252835,F,False,True,usa,chicago,ORD,40,1.0,,4.0,1.0,1460.0,1615.635,1.0,2.75,0.6,0,3.0,
281952,F,False,False,usa,louisville,LOU,39,,,2.0,1.0,236.29999999999998,684.72,1.0,1.0,1.5,0,2.0,
283325,F,True,False,usa,dallas,DAL,53,,1.0,1.0,1.0,2884.0,407.943,1.5,3.0,0.0,0,1.0,
298253,F,True,True,usa,los angeles,LAX,48,1.0,,,1.0,,712.42,,,2.0,0,1.0,
299476,F,True,False,usa,atlanta,ATL,41,,,1.0,1.0,71.0,192.38,1.0,1.0,0.0,0,1.0,
306165,F,False,False,usa,cleveland,CLE,23,,,,,,,,,,0,,
312488,M,True,False,usa,new york,JFK,32,,,1.0,1.0,299.0,407.1,1.0,1.0,1.0,0,1.0,
316527,F,True,True,canada,winnipeg,YWG,43,,,4.0,1.25,5658.3,2436.64,1.25,3.0,0.25,0,4.0,
330764,F,False,False,usa,detroit,DET,41,,2.0,,,1094.0,,1.0,4.5,,1,,
330893,F,True,True,usa,oklahoma city,OKC,45,,,3.0,1.0,750.0,861.61,1.0,2.0,0.6666666666666666,0,3.0,
337227,F,True,False,usa,santa ana,SNA,36,,,,,,,,,,0,,
338086,F,False,True,usa,washington,IAD,42,,,2.0,1.0,192.0,981.69,1.0,1.5,0.5,0,2.0,
340166,M,True,True,usa,san francisco,SFO,53,,1.0,,,474.0,,1.0,2.0,,0,,
347778,F,False,False,usa,las vegas,LSV,51,1.0,,4.0,1.6,4474.0,12436.289999999999,1.75,2.25,1.0,0,4.0,
348863,F,True,False,usa,san antonio,SKF,69,,,,,,,,,,0,,
350648,F,False,False,usa,lincoln,LNK,20,,,,,,,,,,1,,
353271,F,False,True,usa,milwaukee,MKE,28,,,1.0,2.0,272.0,816.8,2.0,1.0,0.0,0,1.0,
353694,F,False,True,usa,new york,LGA,41,,,2.0,1.5,1634.0,713.52,1.5,4.5,0.5,0,2.0,
354050,F,False,False,usa,detroit,DET,52,,,5.0,1.2,2512.6,2599.876,1.2,2.4,0.2,0,5.0,Accor
354260,F,False,False,usa,providence,PVD,51,1.0,,1.0,1.0,520.0,1165.01,1.0,2.0,1.0,0,2.0,
354311,F,True,False,usa,tucson,DMA,47,1.0,,1.0,1.0,291.0,1072.8899999999999,1.0,3.0,0.5,0,2.0,
357737,F,True,True,usa,san diego,SAN,43,,1.0,3.0,1.0,1236.1,1959.7,1.0,3.0,0.0,1,2.0,
359072,F,True,True,canada,montreal,YUL,53,,,2.0,1.0,447.0,133.15,1.0,1.5,0.5,1,2.0,
359080,F,True,False,usa,new york,JFK,44,2.0,,2.0,1.25,1383.0,8924.91,1.0,2.0,1.0,0,4.0,Wyndham
361459,F,True,True,usa,houston,EFD,43,,,1.0,1.0,165.0,393.91,1.0,1.0,1.0,0,1.0,
365825,F,False,False,usa,los angeles,LAX,47,,,1.0,,950.0,,1.0,10.0,,1,,
372970,F,False,False,usa,charlotte,CLT,36,,,2.0,1.0,408.0,1293.3000000000002,1.0,1.0,0.5,0,2.0,Rosewood
373489,F,True,True,usa,wichita,ICT,39,,,1.0,4.0,1224.0,22353.93,2.0,12.0,3.0,0,1.0,
374331,M,False,False,usa,milwaukee,MKE,44,,1.0,,,6720.0,,2.0,12.0,,1,,
374341,F,False,False,usa,detroit,YIP,27,,3.0,,,6840.0,,2.0,7.333333333333333,,0,,
375160,F,False,False,usa,houston,EFD,22,,,,,,,,,,0,,
375729,F,False,False,usa,atlanta,ATL,55,,,3.0,1.0,1667.0,896.282,1.0,2.0,0.3333333333333333,0,3.0,
375751,F,True,False,usa,cleveland,CLE,52,1.0,,2.0,1.0,999.0,707.56,1.0,3.0,0.3333333333333333,0,3.0,
376159,F,False,False,usa,long beach,LGB,44,,1.0,1.0,1.0,708.0,367.24,1.0,3.0,1.0,0,1.0,
377411,F,True,False,canada,montreal,YMX,40,,,2.0,1.5,1026.0,1905.5359999999998,1.5,2.5,0.0,0,2.0,
378565,F,True,True,usa,nashville,BNA,42,,3.0,2.0,1.0,8600.0,687.941,1.2,8.8,0.5,0,2.0,
380434,F,True,True,usa,oklahoma city,TIK,51,,,3.0,1.0,1426.0,999.3375,1.0,2.3333333333333335,0.3333333333333333,0,3.0,
380757,F,False,True,usa,los angeles,LAX,48,,,3.0,1.0,1310.35,495.62,1.0,4.666666666666667,0.3333333333333333,0,3.0,
380949,F,False,False,usa,san antonio,SAT,48,1.0,,3.0,1.0,1654.0,1517.0900000000001,1.0,2.3333333333333335,0.25,1,4.0,
382181,F,True,False,canada,halifax,YHZ,38,1.0,,2.0,1.0,920.0,1073.04,1.0,2.5,0.6666666666666666,0,3.0,
382384,F,True,False,usa,st. petersburg,PIE,59,,,1.0,1.0,156.0,228.63,1.0,1.0,1.0,0,1.0,
382533,F,False,False,usa,long beach,LGB,20,,,,,,,,,,0,,
385689,F,False,True,usa,nashville,BNA,51,,1.0,3.0,,3545.0,,1.25,4.0,,0,,
386255,F,False,True,usa,mobile,BFM,34,,1.0,,,2144.0,,2.0,4.0,,0,,
386469,F,False,False,usa,stockton,SCK,19,,,,,,,,,,0,,
388328,F,True,True,canada,toronto,YYZ,52,,2.0,3.0,1.0,4770.9,1240.7,1.0,4.6,1.0,0,3.0,Aman Resorts
388767,F,True,True,usa,tallahassee,TLH,46,,,1.0,,1890.0,,1.0,10.0,,0,,
388947,M,False,False,usa,new york,LGA,42,1.0,,2.0,1.0,684.0,1196.2385,1.0,2.0,0.6666666666666666,0,3.0,
389434,F,False,False,usa,new york,LGA,44,,,4.0,1.0,1309.0,1725.28,1.0,1.75,0.25,1,3.0,
389662,F,False,False,usa,fresno,FAT,40,,1.0,2.0,1.0,815.0,631.063,1.0,1.3333333333333333,1.0,0,2.0,
389759,F,False,True,usa,anchorage,ANC,35,,,3.0,1.6666666666666667,2628.0,5732.331,1.6666666666666667,2.0,0.3333333333333333,0,3.0,
390811,F,False,False,usa,los angeles,LAX,42,,,3.0,1.0,1387.0,1099.02,1.0,3.6666666666666665,0.6666666666666666,0,3.0,
392453,F,False,False,usa,el paso,ELP,60,,,1.0,1.0,1166.0,374.281,1.0,11.0,1.0,0,1.0,
395981,F,True,False,canada,vancouver,YVR,53,,,3.0,1.3333333333333333,1399.0,2725.986,1.3333333333333333,1.0,1.0,0,3.0,Banyan Tree 
399218,F,True,True,usa,fort worth,FTW,46,1.0,,1.0,1.0,246.0,487.9,1.0,2.0,0.5,0,2.0,
400275,F,True,True,usa,phoenix,LUF,58,1.0,,1.0,,1052.0,,1.0,4.0,,0,,
401245,F,False,False,usa,omaha,OFF,30,1.0,,2.0,,722.0,,1.0,3.0,,0,,
402332,F,False,False,usa,sacramento,MCC,34,,,2.0,1.5,424.65,1005.0740000000001,1.5,1.0,0.0,0,2.0,
403881,F,False,False,usa,san diego,NZY,46,,,4.0,1.5,1974.0,5241.51,1.5,2.75,0.75,0,4.0,Starwood 
404879,F,True,False,usa,newark,EWR,40,1.0,,3.0,1.25,5029.0,1093.56,1.3333333333333333,3.3333333333333335,0.5,0,4.0,
407250,F,False,False,usa,laredo,LRD,38,1.0,,3.0,,1025.0,,1.0,3.0,,0,,
407275,F,False,False,usa,philadelphia,PNE,44,1.0,,3.0,1.0,2576.0,746.9499999999999,1.0,5.0,0.5,0,4.0,
408551,F,True,True,usa,chicago,UGN,45,,,2.0,1.0,1076.0,647.39,1.0,2.5,0.5,0,2.0,
409073,F,True,False,usa,sacramento,MCC,44,,,3.0,1.0,803.0,1578.56,1.0,1.6666666666666667,1.0,0,2.0,
413340,F,True,True,usa,nashville,BNA,49,2.0,,1.0,1.0,1096.0,532.06,1.0,8.0,0.6666666666666666,0,3.0,
413658,F,True,True,usa,philadelphia,PNE,53,,1.0,1.0,1.0,1593.0,189.04,1.5,3.0,1.0,1,1.0,
415381,F,True,False,usa,chicago,UGN,48,1.0,,2.0,1.0,704.0,451.21000000000004,1.0,2.5,1.0,0,3.0,
416319,F,True,False,usa,new york,LGA,57,,,2.0,1.0,219.0,147.6,1.0,1.0,0.5,0,2.0,
418692,F,False,False,usa,fort worth,FTW,41,,,2.0,2.0,631.65,2312.313,2.0,1.5,0.5,1,2.0,
420669,F,True,True,canada,calgary,YYC,53,,1.0,1.0,1.0,1566.0,597.15,1.0,6.0,1.0,2,1.0,
421870,M,True,True,usa,little rock,LIT,31,1.0,,2.0,,1435.0,,1.0,2.5,,0,,
422668,F,False,False,usa,houston,HOU,20,,,,,,,,,,0,,
424553,F,True,False,usa,oklahoma city,TIK,51,,2.0,1.0,1.0,1798.0,393.35,1.0,5.333333333333333,1.0,0,1.0,
425632,F,True,False,usa,tampa,MCF,47,1.0,1.0,1.0,1.0,2280.0,888.98,1.0,5.0,0.5,0,2.0,
425953,F,True,False,usa,nashville,BNA,40,,,4.0,1.75,1162.85,1596.6765,1.75,2.0,0.0,0,2.0,
425966,F,True,False,usa,las vegas,LAS,58,,,2.0,1.0,537.0,1318.67,1.0,2.0,0.5,0,2.0,
428552,F,True,False,usa,new york,LGA,39,,,2.0,1.0,610.0,692.4375,1.0,1.5,0.0,0,2.0,
428858,F,False,False,usa,san diego,NZY,23,,1.0,1.0,1.0,4072.0,689.01,1.0,6.0,1.0,1,1.0,
429345,M,True,True,usa,tallahassee,TLH,68,,1.0,,,714.0,,1.0,6.0,,0,,
429375,F,False,False,usa,new york,LGA,36,,,2.0,1.0,753.0,377.23,1.0,1.5,1.0,1,2.0,
430722,M,False,False,usa,mobile,BFM,30,,,2.0,1.0,921.4,336.86400000000003,1.0,2.5,1.0,1,2.0,
431746,F,False,False,usa,des moines,DSM,42,,,1.0,2.0,207.1,1100.32,2.0,1.0,2.0,0,1.0,
431899,F,True,False,usa,seattle,SEA,46,,,,,,,,,,1,,
431912,F,False,True,usa,detroit,DET,37,1.0,,,2.0,,591.78,,,1.0,0,1.0,
432333,F,True,True,usa,milwaukee,MKE,51,,1.0,1.0,1.0,1460.0,515.36,1.0,4.5,1.0,0,1.0,
433080,F,True,False,usa,colorado springs,COS,46,,,4.0,,1675.6,,1.25,3.25,,0,,
433339,F,False,True,usa,detroit,DET,28,,1.0,1.0,1.0,2230.0,54.64,1.0,7.0,1.0,0,1.0,
435596,F,False,False,usa,houston,EFD,55,,,2.0,1.0,892.0,803.4300000000001,1.0,2.0,0.5,0,2.0,
435882,F,True,False,usa,washington,DCA,53,,,2.0,1.0,1312.0,591.23,1.0,2.0,0.5,1,2.0,
436320,F,True,True,usa,milwaukee,MKE,51,,,2.0,1.0,629.0,379.03700000000003,1.0,2.5,0.5,0,2.0,
436894,F,True,False,usa,louisville,LOU,44,,,2.0,1.0,931.0,313.81,1.0,4.0,0.5,0,2.0,
437069,F,False,False,usa,tucson,DMA,45,,,5.0,1.2,2491.9,2123.52,1.2,3.6,0.6,0,5.0,Marriott 
437162,F,False,False,usa,madison,MSN,32,,,1.0,1.0,253.64999999999998,546.44,1.0,1.0,1.0,1,1.0,
437251,F,False,False,canada,london,YXU,45,,,3.0,1.0,281.0,1087.1200000000001,1.0,1.3333333333333333,0.3333333333333333,0,2.0,InterContinental 
438189,F,True,False,usa,fort worth,FTW,38,1.0,,5.0,1.1666666666666667,2669.3,2873.26,1.2,2.2,0.8333333333333334,0,6.0,Choice Hotels
438839,F,False,True,usa,new york,JFK,52,,,3.0,1.0,2932.0,576.574,1.0,6.666666666666667,0.6666666666666666,0,3.0,
